NAME;CODE;IP1;IP2;IP3
MARIJA BISTRICA;927810;10.199.41.33;10.199.41.34;10.199.41.35
TISAKMEDIA CCO ŽITNJAK;927820;10.99.12.74;10.99.12.75;10.99.12.76
PORE?-KAUFLAND;927860;10.199.41.65;10.199.41.66;10.199.41.67
V. GORICA - ROBNA KU?A;927870;10.199.41.185;10.199.41.186;10.199.41.187
UMAG-KAUFLAND;927880;10.199.41.57;10.199.41.58;10.199.41.59
FAŽANA-VLADIMIRA GORTANA;927910;10.199.41.97;10.199.41.98;10.199.41.99
FAŽANA-TRG STARE ŠKOLE;927920;10.191.59.97;10.191.59.98;10.191.59.99
RI-SUŠAK;927950;10.199.41.105;10.199.41.106;10.199.41.107
FAŽANA-TITOVA RIVA;927970;10.199.41.81;10.199.41.82;10.199.41.83
PORE?-LACOP;927980;10.199.41.129;10.199.41.130;10.199.41.131
PREMANTURA;928030;10.199.41.169;10.199.41.170;10.199.41.171
RABAC-OBALA LOKAL;928090;10.191.55.177;10.191.55.178;10.191.55.179
LOVRE?;928180;10.199.41.201;10.199.41.202;10.199.41.203
ROVINJ-OBALA PALIH BORACA;928210;10.191.55.193;10.191.55.194;10.191.55.195
ROVINJ-CENTENER;928260;10.199.42.49;10.199.42.50;10.199.42.51
ROVINJ-ALDO NEGRI;928280;10.191.57.65;10.191.57.66;10.191.57.67
PULA-VELI VRH;928320;10.199.41.225;10.199.41.226;10.199.41.227
PULA-GIARDINI;928380;10.199.43.161;10.199.43.162;10.199.43.163
PULA-SERGIJEVACA;928390;10.191.19.209;10.191.19.210;10.191.19.211
PULA-MORNARI?KA BOLNICA;928420;10.199.43.9;10.199.43.10;10.199.43.11
PULA-SANTORIOVA-BOLNICA;928440;10.191.23.209;10.191.23.210;10.191.23.211
PULA-GIARDINI FINA;928460;10.199.42.17;10.199.42.18;10.199.42.19
BARBAN;928600;10.199.41.145;10.199.41.146;10.199.41.147
IVANKOVO;928680;10.199.41.249;10.199.41.250;10.199.41.251
